2021-12-17 11:37:24,125 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="6e292560-5169-4fbf-b2e0-2351a6bda840")>
2021-12-17 11:37:24,126 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="6e292560-5169-4fbf-b2e0-2351a6bda840")>
2021-12-17 11:38:32,665 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='我的']")
2021-12-17 11:38:32,665 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='我的']")
2021-12-17 11:38:33,655 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:38:33,655 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:38:34,604 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']") 输入内容：13600001111
2021-12-17 11:38:34,604 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']")
2021-12-17 11:38:43,771 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 11:38:43,771 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 11:38:50,157 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:38:50,158 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:38:53,950 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:38:53,950 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:38:56,253 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:38:56,254 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:38:57,330 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='首页']")
2021-12-17 11:38:57,330 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='首页']")
2021-12-17 11:38:58,529 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:38:58,529 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:38:59,829 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@class='android.widget.EditText']") 输入内容：小米
2021-12-17 11:38:59,829 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:39:09,134 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:39:09,134 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:39:10,655 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:39:10,655 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:39:11,990 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:39:11,990 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:39:15,124 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='确定']")
2021-12-17 11:39:15,124 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='确定']")
2021-12-17 11:39:26,615 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='购物车']")
2021-12-17 11:39:26,615 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='购物车']")
2021-12-17 11:39:27,876 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='立即购买']")
2021-12-17 11:39:27,877 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='立即购买']")
2021-12-17 11:39:29,321 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='提交订单']")
2021-12-17 11:39:29,322 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='提交订单']")
2021-12-17 11:39:30,777 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='立即支付']")
2021-12-17 11:39:30,777 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='立即支付']")
2021-12-17 11:39:32,257 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 11:39:32,257 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 11:39:42,102 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='确定']")
2021-12-17 11:39:42,102 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='确定']")
2021-12-17 11:39:44,807 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pay_trade_no_tv']")
2021-12-17 11:39:44,807 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pay_trade_no_tv']")
2021-12-17 11:39:44,849 INFO [test01_app_login_order.py(test01_login_order:37)] - =======>app下单成功，订单编号为：202112171139296714
2021-12-17 11:39:52,146 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="9491a6ff07cb62588f31749c0c588f03")>
2021-12-17 11:39:52,146 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="9491a6ff07cb62588f31749c0c588f03")>
2021-12-17 11:39:52,146 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='username']") 输入内容：admin
2021-12-17 11:39:52,146 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='username']")
2021-12-17 11:39:52,281 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='password']") 输入内容：123456
2021-12-17 11:39:52,281 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='password']")
2021-12-17 11:39:52,339 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='vertify']") 输入内容：8888
2021-12-17 11:39:52,339 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='vertify']")
2021-12-17 11:39:52,422 INFO [base.py(base_click:24)] - 正调用点击元素：('css selector', "[name='submit']")
2021-12-17 11:39:52,422 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='submit']")
2021-12-17 11:39:53,162 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('css selector', '.bgdopa-t')
2021-12-17 11:39:53,162 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', '.bgdopa-t')
2021-12-17 11:39:53,182 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//a[text()='订单']")
2021-12-17 11:39:53,182 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//a[text()='订单']")
2021-12-17 11:39:53,522 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//a[text()='发货单']")
2021-12-17 11:39:53,522 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//a[text()='发货单']")
2021-12-17 11:39:53,714 INFO [base.py(base_switch_frame:50)] - 正在调用切换frame方法，切换对象：('css selector', '#workspace')
2021-12-17 11:39:53,714 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', '#workspace')
2021-12-17 11:39:53,736 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//div[text()='None']/../..//td[@class='handle']//a[1]")
2021-12-17 11:39:53,736 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//div[text()='None']/../..//td[@class='handle']//a[1]")
2021-12-17 11:45:21,426 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="d17d2a4a-a27b-4af4-92df-f28b39e02817")>
2021-12-17 11:45:21,426 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="d17d2a4a-a27b-4af4-92df-f28b39e02817")>
2021-12-17 11:45:21,426 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='我的']")
2021-12-17 11:45:21,426 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='我的']")
2021-12-17 11:45:22,719 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:45:22,720 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:45:24,023 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']") 输入内容：13600001111
2021-12-17 11:45:24,023 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']")
2021-12-17 11:45:32,864 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 11:45:32,864 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 11:45:39,281 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:45:39,281 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:45:42,959 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:45:42,959 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:45:45,535 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:45:45,535 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:45:46,597 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='首页']")
2021-12-17 11:45:46,597 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='首页']")
2021-12-17 11:45:47,790 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:45:47,790 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:45:48,969 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@class='android.widget.EditText']") 输入内容：小米
2021-12-17 11:45:48,969 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:45:58,467 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:45:58,467 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:45:59,880 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:45:59,880 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:46:01,315 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:46:01,315 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:46:03,093 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='确定']")
2021-12-17 11:46:03,093 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='确定']")
2021-12-17 11:46:04,824 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='购物车']")
2021-12-17 11:46:04,824 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='购物车']")
2021-12-17 11:46:06,230 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='立即购买']")
2021-12-17 11:46:06,230 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='立即购买']")
2021-12-17 11:46:07,657 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='提交订单']")
2021-12-17 11:46:07,657 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='提交订单']")
2021-12-17 11:46:09,108 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='立即支付']")
2021-12-17 11:46:09,108 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='立即支付']")
2021-12-17 11:46:10,424 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 11:46:10,424 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 11:46:20,303 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='确定']")
2021-12-17 11:46:20,304 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='确定']")
2021-12-17 11:46:22,976 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pay_trade_no_tv']")
2021-12-17 11:46:22,976 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pay_trade_no_tv']")
2021-12-17 11:46:23,011 INFO [test01_app_login_order.py(test01_login_order:37)] - =======>app下单成功，订单编号为：202112171146085122
2021-12-17 11:46:30,157 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="ee419cdfe7887ffb0ee15d245ee3dcba")>
2021-12-17 11:46:30,157 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="ee419cdfe7887ffb0ee15d245ee3dcba")>
2021-12-17 11:46:30,157 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='username']") 输入内容：admin
2021-12-17 11:46:30,157 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='username']")
2021-12-17 11:46:30,290 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='password']") 输入内容：123456
2021-12-17 11:46:30,290 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='password']")
2021-12-17 11:46:30,365 INFO [base.py(base_input:29)] - 正调用输入元素方法：('css selector', "[name='vertify']") 输入内容：8888
2021-12-17 11:46:30,365 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='vertify']")
2021-12-17 11:46:30,430 INFO [base.py(base_click:24)] - 正调用点击元素：('css selector', "[name='submit']")
2021-12-17 11:46:30,430 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', "[name='submit']")
2021-12-17 11:46:31,147 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('css selector', '.bgdopa-t')
2021-12-17 11:46:31,147 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', '.bgdopa-t')
2021-12-17 11:46:31,168 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//a[text()='订单']")
2021-12-17 11:46:31,168 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//a[text()='订单']")
2021-12-17 11:46:31,743 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//a[text()='发货单']")
2021-12-17 11:46:31,743 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//a[text()='发货单']")
2021-12-17 11:46:31,913 INFO [base.py(base_switch_frame:50)] - 正在调用切换frame方法，切换对象：('css selector', '#workspace')
2021-12-17 11:46:31,913 INFO [base.py(base_find:19)] - 正在查找元素：('css selector', '#workspace')
2021-12-17 11:46:31,940 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//div[text()='None']/../..//td[@class='handle']//a[1]")
2021-12-17 11:46:31,940 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//div[text()='None']/../..//td[@class='handle']//a[1]")
2021-12-17 11:46:42,180 ERROR [test02_web_login_order.py(test01_web_login_order:37)] - Message: 

2021-12-17 11:46:42,180 INFO [base.py(base_get_img:44)] - 正调用截图方法
2021-12-17 11:52:04,718 INFO [util.py(<module>:90)] - 日志测试
2021-12-17 11:53:00,861 INFO [util.py(<module>:90)] - 日志测试
2021-12-17 11:53:57,464 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:54:14,003 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:55:26,366 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:55:51,030 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:56:37,118 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:57:37,201 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 11:58:04,675 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 12:02:19,687 INFO [util.py(<module>:89)] - 日志测试
2021-12-17 12:02:34,324 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="46b87863-aa18-45d0-8903-36316b13c998")>
2021-12-17 12:02:34,324 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="46b87863-aa18-45d0-8903-36316b13c998")>
2021-12-17 12:02:34,324 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='我的']")
2021-12-17 12:02:34,324 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='我的']")
2021-12-17 12:02:35,595 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 12:02:35,595 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 12:02:36,690 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']") 输入内容：13600001111
2021-12-17 12:02:36,690 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']")
2021-12-17 12:02:42,800 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 12:02:42,800 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 12:02:49,121 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 12:02:49,121 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 12:02:52,822 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 12:02:52,822 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 12:02:55,185 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 12:02:55,185 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 12:02:56,276 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='首页']")
2021-12-17 12:02:56,276 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='首页']")
2021-12-17 12:02:57,557 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 12:02:57,557 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 12:02:58,850 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@class='android.widget.EditText']") 输入内容：小米
2021-12-17 12:02:58,850 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 12:03:05,293 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 12:03:05,293 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 12:03:06,754 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 12:03:06,754 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 12:03:17,120 ERROR [test01_app_login_order.py(test01_login_order:39)] - Message: 

2021-12-17 12:03:17,121 INFO [base.py(base_get_img:44)] - 正调用截图方法
2021-12-17 12:03:31,806 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="22ffecf6-6a1d-40c6-be81-c1c06659dff2")>
2021-12-17 12:03:31,806 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="22ffecf6-6a1d-40c6-be81-c1c06659dff2")>
2021-12-17 12:03:31,807 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='我的']")
2021-12-17 12:03:31,807 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='我的']")
2021-12-17 12:03:32,796 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
